n,Experimental results,theoretical results
5,4.090000584255904e-05,93
10,0.000142400007462129,333
25,0.0007672000065213069,1953
50,0.0030864000000292435,7653
100,0.01415160000033211,30303
250,0.07589720000396483,188253
500,0.32804290000058245,751503
1000,1.3065970000025118,3003003
