k,Experimental results,theoretical results
1,0.9188558000023477,1001001
5,2.0700888999999734,5005005
10,3.6642970999964746,10010010
25,8.806224400002975,25025025
50,17.391792099995655,50050050
100,33.34286629999406,100100100
250,84.07512239999778,250250250
