n,idea,priority_queue
5,3.2100011594593525e-05,4.3100008042529225e-05
10,0.00010480001219548285,7.920002099126577e-05
25,0.0005940999835729599,0.00033090001670643687
50,0.002388499997323379,0.0011301000195089728
100,0.010935199999948964,0.004615400015609339
250,0.06378880000556819,0.023159399977885187
500,0.2810611000168137,0.10016349999932572
1000,1.1089091999747325,0.4114345000125468
