k,time,theoretical_complexity,scaled_theoretical_complexity
1,0.20219749998068437,6907755.278982136,0.07518287432336757
5,0.621061899990309,42585965.95708119,0.4634986616031689
10,1.1839835999999195,92103403.71976183,1.0024383243115678
25,3.0339116000104696,253165777.59625843,2.755414757947499
50,6.157012199983001,540988914.2205142,5.888034521421148
100,12.350511999975424,1151292546.4970229,12.530479053894597
250,32.985756499983836,3107304049.211096,33.81938710642229
scale_constant,1.0883835817421405e-08
